Code,Name,Marcap,Stocks
005930,삼성전자,1894194268992000,5846278608
000660,SK하이닉스,1848749934810000,712702365
402340,SK스퀘어,216543711426000,131958386
009150,삼성전기,150507797440000,74693696
005380,현대차,101150336404000,204757766
373220,LG에너지솔루션,90441000000000,234000000
032830,삼성생명,81600000000000,200000000
028260,삼성물산,75813344117500,162167581
207940,삼성바이오로직스,66612678489000,46290951
329180,HD현대중공업,61927122750000,104961225
034730,SK,56407102934000,72502703
034020,두산에너빌리티,55536651358200,640561146
000270,기아,54657819720000,390412998
105560,KB금융,54160816981800,354687734
012450,한화에어로스페이스,51872781406000,51563401
055550,신한지주,45614284092100,474654361
012330,현대모비스,45320925208500,90732583
006400,삼성SDI,40292765000000,80585530
068270,셀트리온,39805352174400,221633364
010120,LS ELECTRIC,33300000000000,150000000
267260,HD현대일렉트릭,33271505605000,36047135
035420,NAVER,32005084272000,156887668
042660,한화오션,31805710297200,306413394
066570,LG전자,31729927482400,162884638
086790,하나금융지주,31168176172800,274367748
298040,효성중공업,30304781000000,9324548
000810,삼성화재,27681433260000,44647473
005490,POSCO홀딩스,25872358565500,79241527
009540,HD한국조선해양,25584481434000,70773116
042700,한미반도체,24399923200000,95312200
015760,한국전력,24394634926000,641964077
006800,미래에셋증권,24173289216000,559566880
000150,두산,23497254585000,16193835
010130,고려아연,23273360435000,20872969
011070,LG이노텍,21371397621000,23667107
316140,우리금융지주,21178101832000,734076320
051910,LG화학,21142406728500,70592343
010140,삼성중공업,21120000000000,880000000
064350,현대로템,19776583491600,109142293
017670,SK텔레콤,19202230738200,214790053
011200,HMM,18072439505200,943237970
033780,KT&G,17824255295200,103810456
138040,메리츠금융지주,17404116392000,167347273
096770,SK이노베이션,16347404599600,169052788
003670,포스코퓨처엠,16339420614000,88946220
079550,LIG디펜스앤에어로스페이스,16258000000000,22000000
024110,기업은행,16108002553800,797425869
267250,HD현대,16035596255000,78993085
035720,카카오,15894553900600,442745234
018260,삼성에스디에스,15514248900000,77377800
003550,LG,15164558001200,151192004
047810,한국항공우주,14611518539300,97475107
307950,현대오토에버,14534710460000,27423982
272210,한화시스템,14357873564000,188919389
278470,에이피알,14170341667500,37438155
