t,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,LLY,AVGO,JPM,V,UNH,XOM,JNJ,WMT,MA,PG,HD,COST,ORCL,MRK,ABBV,CVX,KO,PEP,BAC,ADBE,CRM,NFLX,AMD,TMO,MCD,CSCO,ACN,ABT,WFC,DIS,INTC,IBM,GE,CMCSA,VZ,T,PFE,NKE,QCOM,TXN,PM,HON,UPS,GS,CAT,BA,MMM,C,AMGN,BMY,LOW,INTU,BRK-B
2015-06-01,479393460000.0,350918900000.0,335024200000.0,231834960000.0,13551090000.0,203936600000.00003,62528800000.0,70447460000.0,69791120000.0,177094400000.0,129926800000.0,108849660400.0,352438199999.99994,241096400000.0,198283600000.0,81784164800.0,183720500000.0,111348390400.0,63147117199.99999,126115200000.0,150052500000.0,118466100000.00002,203207400000.0,176042000000.0,131478900000.0,117505000000.0,31748325000.0,59868899999.99999,37469000000.0,3667500000.0,48109925200.0,68365272200.0,114969200000.0,58862508600.0,85155600000.0,171482400000.0,193070400000.0,170542150000.0,152916343440.0,226969600000.0,104922300000.0,205739600000.0,180310800000.0,196992000000.0,75302400000.0,72885750000.0,50701113900.0,129776400000.0,29782653660.0,84558994800.0,63714546000.0,39394262700.0,111347375000.0,82919198600.0,93109500000.0,84750661300.0,135619200000.00002,39328199400.0,29108759100.0,309636000000.0
2015-06-02,477278100000.0,348615600000.0,337915600000.0,231878000000.0,13282248000.0,204330300000.0,62254319999.99999,69511133000.0,68620160000.0,176933600000.0,129795200000.00002,106933485000.0,352479599999.99994,240951800000.0,197750280000.0,82323148600.0,182998200000.0,111268620800.0,62708072000.0,125856000000.00002,148792800000.0,117917400000.00002,203108400000.0,176257000000.0,131588500000.0,118711999999.99998,31728450000.0,59705100000.00001,37523730000.0,3749000000.0,48150803400.0,68415007900.00001,114575200000.0,58948180200.0,85155600000.0,171910800000.0,192705000000.0,167348100000.00003,152439819210.0,227385600000.0,104993700000.0,205405200000.0,180366400000.0,196593000000.0,75561400000.0,72817500000.0,50282472500.0,129402000000.0,29925860820.0,84516494300.0,63291438000.0,39689040300.0,112923975000.0,82971355600.00002,93571200000.0,84432232400.0,134232000000.0,39333806500.0,29054051100.0,308944800000.0
2015-06-03,477865700000.0,348095500000.0,338733000000.0,234890800000.0,13139350000.0,209397600000.0,62412240000.0,69404124200.0,68096559999.99999,178756000000.0,129626000000.0,107478369000.0,351693000000.0,241216900000.0,198705480000.0,82614730000.0,183044800000.0,112834099200.0,63031812400.0,126633600000.0,149163300000.0,118607700000.00002,202296600000.0,175741000000.0,130561000000.0,120203000000.0,31851675000.0,60171930000.0,37389010000.0,3716400000.0,48303167600.0,68578425200.0,114614600000.0,59345941200.0,85016400000.0,174144600000.0,193435800000.0,164631899999.99997,152682310830.0,229049600000.0,105886200000.0,205154400000.0,183883100000.0,196137000000.0,75857400000.0,73353000000.0,49950289650.0,128575200000.0,30045939390.0,85511006000.0,63861714000.0,39716675700.0,113365423000.0,83534651200.00002,95127300000.0,84804632300.0,134028000000.0,39614161500.0,29225013600.0,309290400000.0
2015-06-04,475074600000.00006,344454800000.0,336537000000.0,231759640000.00003,13376706000.0,208407000000.0,61645200000.0,69270363200.0,67211200000.0,177764400000.0,128234799999.99998,105934531000.0,348670799999.99994,239144300000.0,196747320000.0,81793000600.0,182089500000.0,111138995200.0,62375462000.0,126057600000.00002,146890900000.0,119333400000.0,200752200000.0,174537000000.0,128971800000.0,119138000000.00002,31303125000.0,59139989999.99999,37616350000.0,3797900000.0,48124790000.0,68429218100.0,112723400000.0,58703404200.00001,84703200000.0,171788400000.0,191922000000.0,162519300000.0,151298792750.0,226803200000.0,105225750000.0,201058000000.0,185141050000.0,195168000000.0,75443000000.0,72345000000.0,49126658200.0,127654800000.0,29685386850.0,85086001000.0,64039542000.0,39366627300.0,111300077000.0,82590609500.0,94614300000.0,85322753900.0,134170799999.99998,39328199400.0,28847528400.0,305359200000.0
2015-06-05,472474470000.0,342820200000.0,335219400000.0,229704480000.0,13478430000.0,208635600000.0,62449840000.00001,69662728800.0,68453560000.0,180685600000.0,128535600000.00002,105825554200.0,348919199999.99994,237601900000.0,193849880000.0,81837179600.0,180411900000.00003,110052134400.0,61546154400.0,126172800000.0,145705300000.0,119298000000.00002,201148200000.0,172430000000.0,127478500000.0,122049000000.00002,31346850000.0,60237450000.0,38083660000.0,3797900000.0,48150803400.0,67882125400.00001,112605200000.0,58379076000.0,84303000000.0,173226600000.0,191922000000.0,160155200000.0,150418115820.0,227052800000.0,104754510000.0,197421400000.0,181464500000.0,194313000000.00003,75502200000.0,71667750000.0,48949190650.0,124332000000.0,29691089790.0,85434505100.0,64523970000.0,39633769500.0,110937458999.99998,81928215600.00002,96170400000.0,84869397500.0,135048000000.0,39131950900.0,28885824000.0,304041600000.0
2015-06-08,469345500000.0,339773900000.0,331522800000.0,227843000000.0,13170835999.999998,204901800000.0,64243359999.99999,70019424800.0,65987880000.0,179265200000.0,127238400000.00002,106170647400.0,351278999999.99994,236083600000.0,192655880000.0,81201002000.0,181064300000.0,109613401600.0,61222414000.00001,124128000000.0,145408900000.0,119988300000.00002,198831600000.0,172688000000.0,127190800000.0,121267999999.99998,31068600000.0,58836960000.0,37721600000.0,3765300000.0,47667697400.0,67725813199.99999,111403500000.0,57993553800.0,84285600000.0,171727200000.0,190164600000.0,157439000000.0,148567472410.0,226636800000.0,103290810000.0,198299200000.0,181568750000.0,193686000000.0,75065600000.0,70638750000.0,48070953800.0,125034000000.00002,29553585570.0,84380492700.0,64321614000.0,39679828500.0,110866511999.99998,81672646300.00002,95161500000.0,84448423700.0,133252799999.99998,38509562800.00001,28584930000.0,301363200000.0
2015-06-09,467949950000.0,339179500000.0,330717600000.0,228908240000.0,13236230000.0,204901800000.0,64171920000.0,73809319800.0,66739960000.0,180042400000.00003,127746000000.0,106243298600.0,350161199999.99994,236686100000.0,192289720000.0,81368882200.0,183837000000.0,109214553600.0,61217979200.0,124041600000.0,145334800000.0,119775900000.0,198831600000.0,172860000000.0,127505899999.99998,122900999999.99998,30965250000.000004,58771440000.00001,38921450000.0,3732700000.0,47779183400.0,67306612300.0,111265600000.0,58097583600.0,83833200000.0,173502000000.0,188824800000.0,157187500000.0,148872936660.0,227385600000.0,103262250000.0,197881200000.0,181151750000.0,193857000000.0,74999000000.0,70182000000.0,48157412350.0,125970000000.0,29639446500.0,84677996200.0,64085532000.0,39946970700.0,110440830000.0,81876058600.0,95760000000.0,83547108000.0,132763200000.0,38425456300.0,28623225600.0,301600800000.0
2015-06-10,473311800000.0,346312300000.0,337086000000.0,231759640000.00003,13001296000.000002,208686400000.0,62840880000.0,74174933200.0,68001360000.0,182936800000.0,130904399999.99998,107659997000.0,352769399999.99994,238300800000.0,193507600000.0,83206728600.0,185328200000.0,110660377600.0,61834416400.0,126547200000.0,147236700000.0,120784799999.99998,201623400000.0,173419000000.0,128355300000.0,124889000000.0,31625100000.0,59811570000.0,40361270000.0,3781600000.0,48377491600.0,67711603000.0,112920400000.0,59064448800.0,84390000000.0,175062600000.0,191400000000.0,160054600000.0,151783775990.0,229881600000.0,103940550000.0,198424600000.0,182256800000.0,195567000000.0,76471600000.0,70675500000.0,49317777100.0,128372400000.00002,29985741690.0,85392004600.0,65345658000.0,40753003200.0,111639046000.0,82950492800.0,97504200000.0,83951890500.0,133681200000.0,38784310700.0,29400079200.0,304257600000.0
2015-06-11,472254120000.00006,345049200000.0,335524400000.0,232943240000.0,13139350000.0,207848200000.0,63021360000.0,77215766600.0,67587240000.0,183633600000.0,130923200000.0,108359264800.0,352272600000.0,239168400000.0,193531480000.0,83498310000.0,185025300000.0,110969484800.0,61785633600.0,127526400000.0,145507700000.0,120430800000.00002,200217600000.0,172430000000.0,128903300000.0,124178999999.99998,31660875000.000004,59295600000.00001,40032890000.0,3781600000.0,48503842400.0,67917650900.0,113708400000.0,59309224800.0,85364400000.0,175215600000.0,192478800000.0,160205500000.0,151658770620.0,228883200000.0,104886600000.0,199636800000.0,183090800000.0,196422000000.0,76871200000.0,70980000000.0,48817227600.0,128310000000.0,30023127630.0,85851010000.0,65594004000.0,40610220300.0,112695368000.0,83378180200.00002,97829100000.0,85252591600.0,134333999999.99998,38711418400.0,28948738200.0,305337600000.0
2015-06-12,467039170000.0,341557100000.0,333962800000.0,231296960000.0,12783316000.000002,207086200000.0,62840880000.0,75093425400.0,66863720000.0,182910000000.0,130340400000.0,106842671000.0,347842799999.99994,237023500000.0,192178280000.0,82853296600.0,183767100000.0,110281472000.0,61546154400.0,127699200000.00002,142938900000.0,118678500000.0,197742600000.0,171828000000.0,128423800000.0,124178999999.99998,31744350000.0,58779630000.0,39750820000.0,3765300000.0,48318032400.0,67541080600.0,112447600000.0,58807434000.0,84685800000.0,174695400000.0,191313000000.0,157539600000.0,150049678940.0,227884800000.0,103994100000.0,197505000000.0,181888450000.0,194997000000.0,76797200000.0,70376250000.0,48243870900.0,127701600000.0,29779802190.0,85052000600.0,65324196000.0,40462831500.0,112569240000.00002,82428922800.0,97658100000.0,84259525200.0,133171200000.0,38705811300.0,28647844200.0,303026400000.0
