t,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,LLY,AVGO,JPM,V,UNH,XOM,JNJ,WMT,MA,PG,HD,COST,ORCL,MRK,ABBV,CVX,KO,PEP,BAC,ADBE,CRM,NFLX,AMD,TMO,MCD,CSCO,ACN,ABT,WFC,DIS,INTC,IBM,GE,CMCSA,VZ,T,PFE,NKE,QCOM,TXN,PM,HON,UPS,GS,CAT,BA,MMM,C,AMGN,BMY,LOW,INTU,BRK-B
2015-06-01,32.634,47.23,27.461,21.546,0.5595,80.29,16.63,79.0,14.662,66.08,69.11,119.86,85.13,100.04,24.91,92.56,78.85,111.67,142.39,43.79,60.75,66.93,102.63,40.94,95.97,16.55,79.87,73.1,8.9,2.25,129.46,96.22,29.18,96.19,48.94,56.04,110.96,33.905,162.696,218.24,29.39,49.22,25.944,34.56,50.88,69.415,55.71,83.19,94.002,99.48,207.81,85.53,141.25,158.98,54.45,157.03,66.48,70.14,106.415,143.35
2015-06-02,32.49,46.92,27.698,21.55,0.5484,80.445,16.557,77.95,14.416,66.02,69.04,117.75,85.14,99.98,24.843,93.17,78.54,111.59,141.4,43.7,60.24,66.62,102.58,40.99,96.05,16.72,79.82,72.9,8.913,2.3,129.57,96.29,29.08,96.33,48.94,56.18,110.75,33.27,162.189,218.64,29.41,49.14,25.952,34.49,51.055,69.35,55.25,82.95,94.454,99.43,206.43,86.17,143.25,159.08,54.72,156.44,65.8,70.15,106.215,143.03
2015-06-03,32.53,46.85,27.765,21.83,0.5425,82.44,16.599,77.83,14.306,66.7,68.95,118.35,84.95,100.09,24.963,93.5,78.56,113.16,142.13,43.97,60.39,67.01,102.17,40.87,95.3,16.93,80.13,73.47,8.881,2.28,129.98,96.52,29.09,96.98,48.86,56.91,111.17,32.73,162.447,220.24,29.66,49.08,26.458,34.41,51.255,69.86,54.885,82.42,94.833,100.6,208.29,86.23,143.81,160.16,55.63,157.13,65.7,70.65,106.84,143.19
2015-06-04,32.34,46.36,27.585,21.539,0.5523,82.05,16.395,77.68,14.12,66.33,68.21,116.65,84.22,99.23,24.717,92.57,78.15,111.46,140.65,43.77,59.47,67.42,101.39,40.59,94.14,16.78,78.75,72.21,8.935,2.33,129.5,96.31,28.61,95.93,48.68,56.14,110.3,32.31,160.975,218.08,29.475,48.1,26.639,34.24,50.975,68.9,53.98,81.83,93.695,100.1,208.87,85.47,141.19,158.35,55.33,158.09,65.77,70.14,105.46,141.37
2015-06-05,32.163,46.14,27.477,21.348,0.5565,82.14,16.609,78.12,14.381,67.42,68.37,116.53,84.28,98.59,24.353,92.62,77.43,110.37,138.78,43.81,58.99,67.4,101.59,40.1,93.05,17.19,78.86,73.55,9.046,2.33,129.57,95.54,28.58,95.4,48.45,56.61,110.3,31.84,160.038,218.32,29.343,47.23,26.11,34.09,51.015,68.255,53.785,79.7,93.713,100.51,210.45,86.05,140.73,157.08,56.24,157.25,66.2,69.79,105.6,140.76
2015-06-08,31.95,45.73,27.174,21.175,0.5438,80.67,17.086,78.52,13.863,66.89,67.68,116.91,84.85,97.96,24.203,91.9,77.71,109.93,138.05,43.1,58.87,67.79,100.42,40.16,92.84,17.08,78.16,71.84,8.96,2.31,128.27,95.32,28.275,94.77,48.44,56.12,109.29,31.3,158.069,217.92,28.933,47.44,26.125,33.98,50.72,67.275,52.82,80.15,93.279,99.27,209.79,86.15,140.64,156.59,55.65,156.47,65.32,68.68,104.5,139.52
2015-06-09,31.855,45.65,27.108,21.274,0.5465,80.67,17.067,82.77,14.021,67.18,67.95,116.99,84.58,98.21,24.157,92.09,78.9,109.53,138.04,43.07,58.84,67.67,100.42,40.2,93.07,17.31,77.9,71.76,9.245,2.29,128.57,94.73,28.24,94.94,48.18,56.7,108.52,31.25,158.394,218.64,28.925,47.34,26.065,34.01,50.675,66.84,52.915,80.75,93.55,99.62,209.02,86.73,140.1,156.98,56.0,154.8,65.08,68.53,104.64,139.63
2015-06-10,32.22,46.61,27.63,21.539,0.5368,82.16,16.713,83.18,14.286,68.26,69.63,118.55,85.21,98.88,24.31,94.17,79.54,110.98,139.43,43.94,59.61,68.24,101.83,40.33,93.69,17.59,79.56,73.03,9.587,2.32,130.18,95.3,28.66,96.52,48.5,57.21,110.0,31.82,161.491,221.04,29.115,47.47,26.224,34.31,51.67,67.31,54.19,82.29,94.643,100.46,213.13,88.48,141.62,159.04,57.02,155.55,65.53,69.17,107.48,140.86
2015-06-11,32.148,46.44,27.502,21.649,0.5425,81.83,16.761,86.59,14.199,68.52,69.64,119.32,85.09,99.24,24.313,94.5,79.41,111.29,139.32,44.28,58.91,68.04,101.12,40.1,94.09,17.49,79.65,72.4,9.509,2.32,130.52,95.59,28.86,96.92,49.06,57.26,110.62,31.85,161.358,220.08,29.38,47.76,26.344,34.46,51.94,67.6,53.64,82.25,94.761,101.0,213.94,88.17,142.96,159.86,57.21,157.96,65.85,69.04,105.83,141.36
2015-06-12,31.793,45.97,27.374,21.496,0.5278,81.53,16.713,84.21,14.047,68.25,69.33,117.65,84.02,98.35,24.143,93.77,78.87,110.6,138.78,44.34,57.87,67.05,99.87,39.96,93.74,17.49,79.86,71.77,9.442,2.31,130.02,95.06,28.54,96.1,48.67,57.09,109.95,31.32,159.646,219.12,29.13,47.25,26.171,34.21,51.89,67.025,53.01,81.86,93.993,100.06,213.06,87.85,142.8,158.04,57.11,156.12,65.28,69.03,104.73,140.29
