market,window,scheme,scheme_en,freq,total_return,cagr,mdd,n_rebal,cost_drag
US,10년,순위선형,rank,W (매주),5.620005208100107,0.20871104082634906,-0.4181541442709168,521,0.0788013263275305
US,10년,순위선형,rank,2W (격주),5.523872489284236,0.2069391387885564,-0.41076592584518146,261,0.05521030621542924
US,10년,순위선형,rank,M (매월),5.440912868477885,0.2053910554694529,-0.4189968179393617,120,0.032180658378455365
US,10년,순위선형,rank,Q (분기),5.1842467373191985,0.20048520285503035,-0.40571188490760446,40,0.01623940272250463
US,10년,순위선형,rank,Y (연),4.460926626874249,0.1856027291214286,-0.41312460030755704,11,0.008994886974479671
US,10년,시총가중,mcap,W (매주),5.006791636655781,0.19698509300885614,-0.4078840565425629,521,0.022304167145400886
US,10년,시총가중,mcap,2W (격주),4.895215340705762,0.1947364255856423,-0.40844424352176234,261,0.0173995198283003
US,10년,시총가중,mcap,M (매월),4.965162968096922,0.1961505537131143,-0.4065933910601318,120,0.012034940753583705
US,10년,시총가중,mcap,Q (분기),4.925730795560808,0.1953552014963611,-0.3968546818017523,40,0.007357936719609255
US,10년,시총가중,mcap,Y (연),4.333483391039067,0.18279830701286048,-0.40144502846061625,11,0.006372144053257344
US,10년,균등,equal,W (매주),5.006484228628455,0.19697894942684369,-0.3995303652457265,521,0.07885574024558913
US,10년,균등,equal,2W (격주),4.730462750261732,0.19134503125037905,-0.40215719142020634,261,0.058035002777862166
US,10년,균등,equal,M (매월),4.738448548736168,0.19151142782688968,-0.39521956078755693,120,0.038030089991699774
US,10년,균등,equal,Q (분기),4.801831854942595,0.19282477827812783,-0.3639934504460999,40,0.021294362658558153
US,10년,균등,equal,Y (연),3.9301633282795274,0.1735075411271716,-0.3564084239602079,11,0.012643616498678203
US,5년,순위선형,rank,W (매주),1.6002449210279988,0.21089152541244638,-0.41815414427091646,261,0.02469874921544789
US,5년,순위선형,rank,2W (격주),1.604755912953074,0.2113118911911882,-0.41625578648738126,131,0.016711695516350888
